
06:24:46 08.10| Подключен к SQLite3
06:24:47 08.10| Бот запущен
13:33:21 08.10| Подключен к SQLite3
13:33:21 08.10| Бот запущен
13:35:37 08.10| Подключен к SQLite3
13:35:37 08.10| Бот запущен
13:35:51 08.10| Подключен к SQLite3
13:35:51 08.10| Бот запущен
13:36:56 08.10| Подключен к SQLite3
13:36:56 08.10| Бот запущен
13:37:29 08.10| Подключен к SQLite3
13:37:29 08.10| Бот запущен
13:41:32 08.10| Подключен к SQLite3
13:41:32 08.10| Бот запущен
13:42:47 08.10| Подключен к SQLite3
13:42:47 08.10| Бот запущен
13:43:25 08.10| Подключен к SQLite3
13:43:25 08.10| Бот запущен
13:45:56 08.10| Подключен к SQLite3
13:45:57 08.10| Бот запущен
13:46:13 08.10| Подключен к SQLite3
13:46:13 08.10| Бот запущен
13:46:25 08.10| Подключен к SQLite3
13:46:25 08.10| Бот запущен
13:48:23 08.10| Подключен к SQLite3
13:48:24 08.10| Бот запущен
13:48:56 08.10| Подключен к SQLite3
13:48:57 08.10| Бот запущен
13:49:50 08.10| Подключен к SQLite3
13:49:51 08.10| Бот запущен
13:50:36 08.10| Подключен к SQLite3
13:50:37 08.10| Бот запущен
13:50:58 08.10| Подключен к SQLite3
13:50:58 08.10| Бот запущен
13:53:10 08.10| Подключен к SQLite3
13:53:11 08.10| Бот запущен
13:53:25 08.10| Подключен к SQLite3
13:53:26 08.10| Бот запущен
13:57:07 08.10| Подключен к SQLite3
13:57:08 08.10| Бот запущен
13:57:07 08.10| Пользователь Kinoki445 Kinoki зарегестрировался!
13:57:31 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
13:57:42 08.10| Подключен к SQLite3
13:57:43 08.10| Бот запущен
13:58:37 08.10| Подключен к SQLite3
13:58:38 08.10| Бот запущен
13:58:58 08.10| Подключен к SQLite3
13:58:59 08.10| Бот запущен
13:59:07 08.10| Подключен к SQLite3
13:59:07 08.10| Бот запущен
13:59:50 08.10| Подключен к SQLite3
13:59:50 08.10| Бот запущен
14:00:07 08.10| Подключен к SQLite3
14:00:07 08.10| Бот запущен
14:01:01 08.10| Подключен к SQLite3
14:01:01 08.10| Бот запущен
14:01:13 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
14:02:19 08.10| Подключен к SQLite3
14:02:20 08.10| Бот запущен
14:02:27 08.10| Пользователь @Kinoki445 Kinoki запросил excel 05.10.2023!
14:02:32 08.10| Пользователь @Kinoki445 Kinoki запросил excel 06.10.2023!
14:02:34 08.10| Пользователь @Kinoki445 Kinoki запросил excel 07.10.2023!
14:02:37 08.10| Пользователь @Kinoki445 Kinoki запросил excel 09.10.2023!
14:03:23 08.10| Подключен к SQLite3
14:03:24 08.10| Бот запущен
14:03:39 08.10| Подключен к SQLite3
14:03:39 08.10| Бот запущен
14:03:49 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 10.10.2023!
14:03:55 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 09.10.2023!
14:03:57 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 07.10.2023!
14:03:59 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 06.10.2023!
14:05:05 08.10| Подключен к SQLite3
14:05:06 08.10| Бот запущен
14:05:08 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 05.10.2023!
14:05:38 08.10| Подключен к SQLite3
14:05:39 08.10| Бот запущен
14:05:41 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 10.10.2023!
14:06:04 08.10| Подключен к SQLite3
14:06:04 08.10| Бот запущен
14:06:07 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 07.10.2023!
14:07:34 08.10| Подключен к SQLite3
14:07:35 08.10| Бот запущен
14:08:20 08.10| Подключен к SQLite3
14:08:20 08.10| Бот запущен
14:08:20 08.10| Пользователь kikoki445 ... зарегестрировался!
14:09:26 08.10| Подключен к SQLite3
14:09:27 08.10| Бот запущен
14:11:02 08.10| Подключен к SQLite3
14:11:02 08.10| Бот запущен
14:11:21 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 05.10.2023!
14:30:27 08.10| Подключен к SQLite3
14:30:28 08.10| Бот запущен
14:31:25 08.10| Подключен к SQLite3
14:31:26 08.10| Бот запущен
14:32:16 08.10| Подключен к SQLite3
14:32:17 08.10| Бот запущен
14:32:19 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 10.10.2023!
14:32:21 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 09.10.2023!
14:32:23 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 06.10.2023!
14:33:33 08.10| Подключен к SQLite3
14:33:33 08.10| Бот запущен
14:34:33 08.10| Подключен к SQLite3
14:34:34 08.10| Бот запущен
14:37:15 08.10| Подключен к SQLite3
14:37:15 08.10| Бот запущен
14:37:38 08.10| Подключен к SQLite3
14:37:38 08.10| Бот запущен
14:37:50 08.10| Подключен к SQLite3
14:37:51 08.10| Бот запущен
14:38:20 08.10| Подключен к SQLite3
14:38:21 08.10| Бот запущен
14:38:23 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
14:39:40 08.10| Подключен к SQLite3
14:39:40 08.10| Бот запущен
14:39:47 08.10| Подключен к SQLite3
14:39:47 08.10| Бот запущен
14:40:39 08.10| Подключен к SQLite3
14:40:40 08.10| Бот запущен
14:40:49 08.10| Подключен к SQLite3
14:40:50 08.10| Бот запущен
14:40:51 08.10| Пользователь @Kinoki445 Kinoki запросил excel 06.10.2023!
14:40:56 08.10| Пользователь @Kinoki445 Kinoki запросил  05.10.2023!
14:41:02 08.10| Пользователь @Kinoki445 Kinoki запросил  10.10.2023!
14:41:40 08.10| Пользователь @Kinoki445 Kinoki запросил  07.10.2023!
14:41:45 08.10| Подключен к SQLite3
14:41:51 08.10| Бот запущен
14:41:53 08.10| Пользователь @Kinoki445 Kinoki запросил  09.10.2023!
14:43:25 08.10| Подключен к SQLite3
14:43:26 08.10| Бот запущен
14:43:29 08.10| Пользователь @Kinoki445 Kinoki запросил  10.10.2023!
14:44:38 08.10| Подключен к SQLite3
14:44:38 08.10| Бот запущен
14:44:47 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
14:45:02 08.10| Пользователь @Kinoki445 Kinoki запросил excel 09.10.2023!
14:45:04 08.10| Пользователь @Kinoki445 Kinoki запросил excel 07.10.2023!
14:45:06 08.10| Пользователь @Kinoki445 Kinoki запросил excel 06.10.2023!
14:45:07 08.10| Пользователь @Kinoki445 Kinoki запросил excel 05.10.2023!
14:45:09 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
14:46:50 08.10| Подключен к SQLite3
14:46:50 08.10| Бот запущен
14:46:54 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
14:51:37 08.10| Подключен к SQLite3
14:51:37 08.10| Бот запущен
14:52:01 08.10| Подключен к SQLite3
14:52:02 08.10| Бот запущен
14:54:35 08.10| Подключен к SQLite3
14:54:36 08.10| Бот запущен
14:55:42 08.10| Подключен к SQLite3
14:55:43 08.10| Бот запущен
14:57:42 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
14:57:47 08.10| Пользователь @Kinoki445 Kinoki узнал о боте
15:02:36 08.10| Подключен к SQLite3
15:02:37 08.10| Бот запущен
15:02:39 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 10.10.2023!
15:03:10 08.10| Подключен к SQLite3
15:03:10 08.10| Бот запущен
15:03:29 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 05.10.2023!
15:03:32 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 06.10.2023!
15:03:34 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 07.10.2023!
15:03:35 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 10.10.2023!
15:03:38 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 09.10.2023!
15:04:36 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 05.10.2023!
15:04:47 08.10| Подключен к SQLite3
15:04:48 08.10| Бот запущен
15:21:09 08.10| Подключен к SQLite3
15:21:10 08.10| Бот запущен
15:22:55 08.10| Подключен к SQLite3
15:23:01 08.10| Бот запущен
15:25:56 08.10| Подключен к SQLite3
15:26:00 08.10| Бот запущен
15:27:00 08.10| Подключен к SQLite3
15:27:01 08.10| Бот запущен
15:28:26 08.10| Подключен к SQLite3
15:28:27 08.10| Бот запущен
15:28:44 08.10| Подключен к SQLite3
15:28:45 08.10| Бот запущен
15:30:24 08.10| Подключен к SQLite3
15:30:25 08.10| Бот запущен
15:30:40 08.10| Подключен к SQLite3
15:30:41 08.10| Бот запущен
15:32:01 08.10| Подключен к SQLite3
15:32:01 08.10| Бот запущен
15:32:09 08.10| Пользователь @Kinoki445 Kinoki написал admni
15:34:22 08.10| Подключен к SQLite3
15:34:22 08.10| Бот запущен
15:34:38 08.10| Подключен к SQLite3
15:34:38 08.10| Бот запущен
15:36:40 08.10| Подключен к SQLite3
15:36:41 08.10| Бот запущен
15:36:42 08.10| Пользователь @kikoki445 ... написал admin
16:13:12 08.10| Подключен к SQLite3
16:13:13 08.10| Бот запущен
16:13:48 08.10| Подключен к SQLite3
16:13:49 08.10| Бот запущен
16:14:12 08.10| Пользователь @Kinoki445 Kinoki написал qwe
16:14:43 08.10| Подключен к SQLite3
16:14:43 08.10| Бот запущен
16:15:59 08.10| Подключен к SQLite3
16:16:00 08.10| Бот запущен
16:16:14 08.10| Пользователь @Kinoki445 Kinoki написал asdasdqwe
16:20:30 08.10| Подключен к SQLite3
16:20:30 08.10| Бот запущен
16:21:53 08.10| Подключен к SQLite3
16:21:54 08.10| Бот запущен
16:22:04 08.10| Подключен к SQLite3
16:22:05 08.10| Бот запущен
16:22:48 08.10| Подключен к SQLite3
16:22:48 08.10| Бот запущен
16:23:07 08.10| Подключен к SQLite3
16:23:08 08.10| Бот запущен
16:23:48 08.10| Подключен к SQLite3
16:23:49 08.10| Бот запущен
16:24:46 08.10| Подключен к SQLite3
16:24:46 08.10| Бот запущен
16:25:29 08.10| Подключен к SQLite3
16:25:30 08.10| Бот запущен
16:25:53 08.10| Подключен к SQLite3
16:25:53 08.10| Бот запущен
16:26:15 08.10| Подключен к SQLite3
16:26:16 08.10| Бот запущен
16:26:29 08.10| Подключен к SQLite3
16:26:29 08.10| Бот запущен
16:26:34 08.10| Пользователь @Kinoki445 Kinoki написал 3псо12
16:26:44 08.10| Подключен к SQLite3
16:26:45 08.10| Бот запущен
16:27:55 08.10| Подключен к SQLite3
16:27:56 08.10| Бот запущен
16:28:34 08.10| Подключен к SQLite3
16:28:35 08.10| Бот запущен
16:28:58 08.10| Подключен к SQLite3
16:28:59 08.10| Бот запущен
16:29:59 08.10| Подключен к SQLite3
16:30:00 08.10| Бот запущен
16:30:38 08.10| Подключен к SQLite3
16:30:38 08.10| Бот запущен
16:32:39 08.10| Подключен к SQLite3
16:32:39 08.10| Бот запущен
16:33:00 08.10| Подключен к SQLite3
16:33:00 08.10| Бот запущен
16:33:15 08.10| Пользователь @Kinoki445 Kinoki запросил 3псо12 10.10.2023!
16:33:27 08.10| Пользователь @Kinoki445 Kinoki запросил 3псо12 09.10.2023!
16:33:58 08.10| Пользователь @Kinoki445 Kinoki запросил 2ис6 10.10.2023!
16:34:14 08.10| Пользователь @Kinoki445 Kinoki запросил 3р5 10.10.2023!
16:34:22 08.10| Пользователь @Kinoki445 Kinoki запросил 3р5 09.10.2023!
16:34:42 08.10| Пользователь @Kinoki445 Kinoki запросил йцу 09.10.2023!
16:34:48 08.10| Пользователь @Kinoki445 Kinoki запросил йцу 10.10.2023!
16:38:05 08.10| Подключен к SQLite3
16:38:05 08.10| Бот запущен
16:39:59 08.10| Подключен к SQLite3
16:39:59 08.10| Бот запущен
16:40:21 08.10| Подключен к SQLite3
16:40:21 08.10| Бот запущен
16:41:03 08.10| Подключен к SQLite3
16:41:03 08.10| Бот запущен
16:42:33 08.10| Подключен к SQLite3
16:42:33 08.10| Бот запущен
16:42:48 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 10.10.2023!
16:43:04 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 05.10.2023!
16:43:36 08.10| Подключен к SQLite3
16:43:36 08.10| Бот запущен
16:43:38 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 05.10.2023!
16:44:24 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 07.10.2023!
16:44:49 08.10| Подключен к SQLite3
16:44:50 08.10| Бот запущен
16:44:56 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 10.10.2023!
16:45:03 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 09.10.2023!
16:46:05 08.10| Подключен к SQLite3
16:46:05 08.10| Бот запущен
16:46:49 08.10| Подключен к SQLite3
16:46:49 08.10| Бот запущен
16:47:40 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 10.10.2023!
16:47:41 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 06.10.2023!
16:47:42 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 07.10.2023!
16:47:42 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 06.10.2023!
16:47:43 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 07.10.2023!
16:47:44 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 05.10.2023!
16:48:17 08.10| Подключен к SQLite3
16:48:17 08.10| Бот запущен
16:49:02 08.10| Подключен к SQLite3
16:49:03 08.10| Бот запущен
16:49:14 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 10.10.2023!
16:49:17 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 07.10.2023!
16:49:20 08.10| Пользователь @Kinoki445 Kinoki запросил teacher 05.10.2023!
16:49:44 08.10| Подключен к SQLite3
16:49:45 08.10| Бот запущен
16:49:47 08.10| Пользователь @Kinoki445 Kinoki запросил Зятикова ТЮ 05.10.2023!
16:49:49 08.10| Пользователь @Kinoki445 Kinoki запросил Зятикова ТЮ 07.10.2023!
16:49:53 08.10| Пользователь @Kinoki445 Kinoki запросил Зятикова ТЮ 10.10.2023!
16:51:53 08.10| Пользователь @Kinoki445 Kinoki запросил 3ис6 05.10.2023!
16:52:04 08.10| Пользователь @Kinoki445 Kinoki запросил 2р5 10.10.2023!
16:52:09 08.10| Пользователь @Kinoki445 Kinoki запросил 2р5 09.10.2023!
16:52:19 08.10| Пользователь @Kinoki445 Kinoki запросил excel 10.10.2023!
16:52:20 08.10| Пользователь @Kinoki445 Kinoki запросил excel 09.10.2023!
16:52:22 08.10| Пользователь @Kinoki445 Kinoki запросил excel 07.10.2023!
16:52:33 08.10| Пользователь @Kinoki445 Kinoki узнал о боте
17:20:03 08.10| Подключен к SQLite3
17:20:03 08.10| Бот запущен
17:20:14 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
17:21:56 08.10| Подключен к SQLite3
17:21:56 08.10| Бот запущен
17:22:24 08.10| Пользователь @Kinoki445 Kinoki узнал о боте
17:22:29 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
17:22:36 08.10| Пользователь @Kinoki445 Kinoki написал asd
17:29:18 08.10| Подключен к SQLite3
17:29:19 08.10| Бот запущен
17:29:46 08.10| Пользователь @kikoki445 ... запросил 3псо12 10.10.2023!
17:33:00 08.10| Подключен к SQLite3
17:33:00 08.10| Бот запущен
17:33:06 08.10| Пользователь @kikoki445 ... узнал о боте
17:33:27 08.10| Подключен к SQLite3
17:33:28 08.10| Бот запущен
17:33:30 08.10| Пользователь @kikoki445 ... узнал о боте
17:49:02 08.10| Подключен к SQLite3
17:49:03 08.10| Бот запущен
17:49:13 08.10| Подключен к SQLite3
17:49:13 08.10| Бот запущен
17:53:22 08.10| Пользователь @Kinoki445 Kinoki написал .ьутг
17:53:49 08.10| Пользователь @Kinoki445 Kinoki запросил 2ис6 10.10.2023!
17:53:56 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
17:56:45 08.10| Подключен к SQLite3
17:56:45 08.10| Бот запущен
17:57:37 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
17:57:39 08.10| Пользователь @Kinoki445 Kinoki узнал о боте
17:58:04 08.10| Пользователь @Kinoki445 Kinoki запросил Зятикова ТЮ 10.10.2023!
17:58:07 08.10| Пользователь @Kinoki445 Kinoki запросил 3ИС6 10.10.2023!
17:58:16 08.10| Пользователь @Kinoki445 Kinoki запросил 3псо12 10.10.2023!
18:01:09 08.10| Подключен к SQLite3
18:01:09 08.10| Бот запущен
18:01:16 08.10| Пользователь @None None запросил 3ИС6 10.10.2023!
18:01:22 08.10| Пользователь @None None запросил 3ИС6 09.10.2023!
18:01:25 08.10| Пользователь @Kinoki445 Kinoki узнал преподов!
18:01:56 08.10| Подключен к SQLite3
18:01:56 08.10| Бот запущен
18:01:56 08.10| Пользователь None мария зарегестрировался!
18:04:29 08.10| Пользователь @None мария запросил 3ис6 10.10.2023!
